topic_id,keywords,weights
0,"say, shirt, jean, trend, brand, year, like, dress, man, new, high, time, pair, way, short","[0.013314533047378063, 0.008569212630391121, 0.007381139788776636, 0.006605102214962244, 0.006475127302110195, 0.00572501216083765, 0.005638508126139641, 0.005103855859488249, 0.004287775605916977, 0.004267422016710043, 0.0041051749140024185, 0.003995183389633894, 0.003944562282413244, 0.0038816609885543585, 0.00347159500233829]"
1,"say, brand, people, year, new, design, work, company, industry, bag, like, product, material, sustainable, change","[0.01634787581861019, 0.008595328778028488, 0.006221415940672159, 0.005732142366468906, 0.005599746014922857, 0.004887156188488007, 0.004885430913418531, 0.004547905642539263, 0.004379441030323505, 0.004300656728446484, 0.003989603370428085, 0.003571844892576337, 0.0034424462355673313, 0.0033030256163328886, 0.0031128027476370335]"
2,"say, designer, year, brand, collection, dress, new, week, design, paris, work, chanel, london, catwalk, art","[0.011079763062298298, 0.010848390869796276, 0.007503478322178125, 0.006285653915256262, 0.006124444305896759, 0.005897804629057646, 0.005835143383592367, 0.005366393830627203, 0.0050705610774457455, 0.0047857072204351425, 0.004642643965780735, 0.0041621532291173935, 0.004104738123714924, 0.0040082260966300964, 0.00376393785700202]"
3,"char, new, year, say, brand, campbell, perfume, know, scent, book, coat, fragrance, good, feel, charity","[0.008717562071979046, 0.008164613507688046, 0.006709420587867498, 0.0063533480279147625, 0.005770167801529169, 0.005126550793647766, 0.0044348156079649925, 0.004274578765034676, 0.004255962558090687, 0.004065507557243109, 0.0040615457110106945, 0.003992867656052113, 0.0037319837138056755, 0.003612335305660963, 0.003342939307913184]"
4,"hair, say, people, like, tattoo, time, year, woman, work, think, get, man, want, feel, new","[0.017395244911313057, 0.016538042575120926, 0.007675393018871546, 0.007076244801282883, 0.005973660387098789, 0.005696738604456186, 0.005556704942137003, 0.005223176442086697, 0.005091665778309107, 0.005042827222496271, 0.004981229547411203, 0.004965273197740316, 0.00476857740432024, 0.004404176026582718, 0.004353624302893877]"
5,"say, like, year, brand, people, include, item, store, new, know, dress, good, sell, australian, week","[0.01628842204809189, 0.010077728889882565, 0.009671950712800026, 0.007627698592841625, 0.006672956980764866, 0.005566313397139311, 0.005423079244792461, 0.0050020781345665455, 0.004918575286865234, 0.004699537064880133, 0.004675781354308128, 0.004351872485131025, 0.00428853090852499, 0.004124356899410486, 0.004070855211466551]"
6,"like, say, feel, people, clothe, think, time, dress, year, thing, new, know, work, love, want","[0.014266584999859333, 0.012276625260710716, 0.008255827240645885, 0.007683963049203157, 0.007266860920935869, 0.006975559983402491, 0.006695909425616264, 0.0066351937130093575, 0.006350710988044739, 0.006342282984405756, 0.00510494876652956, 0.005030322819948196, 0.0049931989051401615, 0.004981843754649162, 0.0049784122966229916]"
7,"say, model, brand, year, vogue, new, like, black, people, work, designer, industry, bag, include, cover","[0.0154214883223176, 0.009357593022286892, 0.007897530682384968, 0.007643804885447025, 0.00646405341103673, 0.005646292585879564, 0.00516935670748353, 0.004915902856737375, 0.004891478922218084, 0.004540186375379562, 0.004420495126396418, 0.004171391949057579, 0.003854871029034257, 0.0036022954154759645, 0.0035963403061032295]"
8,"skin, product, beauty, good, makeup, hair, face, like, use, say, skincare, time, lip, cream, brand","[0.01564711704850197, 0.010106983594596386, 0.010001521557569504, 0.007384278811514378, 0.00734646525233984, 0.006820058915764093, 0.006723584607243538, 0.0066987997852265835, 0.004946388304233551, 0.004865601193159819, 0.0045907325111329556, 0.004306357819586992, 0.004249219316989183, 0.004167128819972277, 0.003798054065555334]"
9,"shoe, bag, jacket, like, coat, pair, short, leather, day, shirt, boot, summer, year, heel, say","[0.013001314364373684, 0.007097441703081131, 0.00663334596902132, 0.005948301870375872, 0.0053373719565570354, 0.005278249271214008, 0.00523416930809617, 0.005129760131239891, 0.004655086435377598, 0.004590005148202181, 0.004142755642533302, 0.004116959869861603, 0.003984437324106693, 0.00398279307410121, 0.003823336446657777]"
10,"char, culture, arts, gap, cottagecore, spring, streetwear, new, olivia, rodrigo, coachella, garden, weekend, sneaker, watercolor","[0.018292954191565514, 0.016461173072457314, 0.015700343996286392, 0.013425430282950401, 0.009484423324465752, 0.009230977855622768, 0.009027949534356594, 0.007128601428121328, 0.006810000166296959, 0.006574130617082119, 0.006302259862422943, 0.005825756583362818, 0.0050334627740085125, 0.004952344577759504, 0.004951851908117533]"
11,"dress, like, feel, shirt, skirt, good, day, year, new, way, trouser, work, think, time, clothe","[0.018535900861024857, 0.00883364025503397, 0.006383717525750399, 0.005551670212298632, 0.005239095538854599, 0.005015609320253134, 0.0049723172560334206, 0.004895205143839121, 0.0047933124005794525, 0.0047074416652321815, 0.004663417115807533, 0.0045525087043643, 0.004448596853762865, 0.0044125402346253395, 0.004147448111325502]"
