model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,1.0,1.118033988749895,62500014.58333333,145.83333333333334,0
MA(4),0.9375,1.0897247358851685,46875020.3125,154.93506493506493,0
"ARIMA(1,1,1)",0.9755008924120645,1.1003705366808376,56321972.093277335,149.239335746154,0
"SARIMA(1,1,1)(1,0,1,52)",0.9699212772678025,1.0911522450484066,56585862.68907017,148.52576070913614,0
Prophet,1.471290781742146,1.8106844291899877,47231361.13790765,200.0,0
XGBoost-lag8,1.0938255339860916,1.1945287661592112,69732666.31946589,151.02228717072498,0
LSTM,1.0169399983000926,1.127059098344901,64608781.735407375,145.5581991831126,0
Naive,0.0,0.0,0.0,0.0,1
MA(4),0.5,0.5,50000000.0,200.0,1
"ARIMA(1,1,1)",0.22838177739805793,0.22850856563109254,22838177.739805788,200.0,1
"SARIMA(1,1,1)(1,0,1,52)",0.25725155951941503,0.25764159104992196,25725155.95194151,200.0,1
Prophet,0.3556580545479407,0.41416215776625565,35565805.45479407,200.0,1
XGBoost-lag8,0.3513509128242731,0.42426989524234265,35135091.28242731,200.0,1
LSTM,0.5477127458142056,0.8819080867449791,54771274.58142056,175.0,1
Naive,0.25,0.5,25.0,50.0,2
MA(4),0.5,0.5,37500012.5,166.66666666666666,2
"ARIMA(1,1,1)",0.33129711653560234,0.442786988213058,12126625.011945978,186.21634926969006,2
"SARIMA(1,1,1)(1,0,1,52)",0.3663381674266358,0.467763808341281,15092710.211042391,187.84620295748417,2
Prophet,0.31246426385982706,0.5126679548692165,6208080.943652231,194.16114489310937,2
XGBoost-lag8,0.3109858119278215,0.486155525189584,7372643.659409991,195.0725605621825,2
LSTM,0.2537674822472671,0.4995213250155625,407036.89326019346,99.87923758220633,2
Naive,0.0,0.0,0.0,0.0,3
MA(4),0.0,0.0,0.0,0.0,3
"ARIMA(1,1,1)",0.08357861574791947,0.08365140022031273,8357861.574791946,200.0,3
"SARIMA(1,1,1)(1,0,1,52)",0.07303150384111601,0.0740412033056819,7303150.384111601,200.0,3
Prophet,0.10701513211714764,0.1313342522374662,10701513.211714765,200.0,3
XGBoost-lag8,0.06514450022223173,0.06956626828330219,6514450.022223173,200.0,3
LSTM,0.07885205807599799,0.10384223120106818,7885205.807599798,175.0,3
Naive,1.25,1.6583123951777,62.5,125.0,4
MA(4),1.0,1.0897247358851685,46875024.479166664,105.37958773252892,4
"ARIMA(1,1,1)",1.0359416138624202,1.3510546727569568,76825803.43373942,89.18405436659684,4
"SARIMA(1,1,1)(1,0,1,52)",1.1176892789087822,1.4099354039843517,79986144.81864063,91.44120585346762,4
Prophet,1.2779061168838903,1.5540084922419402,85831693.28438644,96.45850596512045,4
XGBoost-lag8,0.8715383559465408,1.1347066291697658,49892590.04254341,93.67621937690807,4
LSTM,1.5063995199243108,1.6827279695722914,45877934.437867396,137.76249968690354,4
Naive,0.875,0.9354143466934853,62500012.5,141.66666666666666,5
MA(4),0.8125,0.8660254037844386,46875018.75,151.2987012987013,5
"ARIMA(1,1,1)",0.8534725889788255,0.9043557313978597,57166598.1421035,144.71451266291712,5
"SARIMA(1,1,1)(1,0,1,52)",0.7851789714747331,0.8357534531535517,45183296.669976905,150.91100996613505,5
Prophet,0.789754862407429,0.8766223437209397,57361888.033376016,141.57804418539007,5
XGBoost-lag8,0.5801013186573982,0.6739037112382967,24329607.188832015,151.55934184467873,5
LSTM,0.9814395987407998,1.3857334704616682,52139129.08279331,148.45537358560136,5
