term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
harris,24.0,1.0,0.0,23.0,12.0,1,2020-12-28
armani,90.0,3.8,3.56,18.89,18.75,5,2021-02-22
family,12.0,3.0,0.0,9.0,3.0,5,2020-12-28
roberts,9.0,1.0,0.0,8.0,4.5,1,2021-06-21
milan,16.0,2.6,1.14,6.26,4.44,5,2021-01-11
giorgio,19.0,2.0,1.73,6.22,6.33,3,2021-02-22
actor,11.0,2.0,0.82,4.95,3.67,10,2020-12-28
magazine,18.0,2.67,2.25,4.72,4.91,6,2020-12-28
die,8.0,1.2,0.45,4.7,3.64,5,2020-12-28
name,8.0,1.25,0.46,4.61,3.56,8,2020-12-28
away,8.0,2.0,0.5,4.0,2.67,9,2020-12-28
expect,9.0,2.0,1.0,3.5,3.0,9,2021-01-11
industry,15.0,4.56,2.35,3.12,2.7,9,2020-12-28
suit,17.0,4.11,3.14,3.11,3.33,9,2021-01-04
