topic_id,keywords,recent_mean,baseline_mean,momentum_pct,forecast_mean,forecast_pct,status,model
17,,2.38,0.85,180.7,8.33,250.9,Rising,LSTM
9,"fashion, say, brand, new, industry, company, year, week, vogue, designer, business, include, sustainable, fur, global",3.25,0.96,238.0,8.17,151.3,Rising,LSTM
6,"hair, skin, beauty, like, product, good, makeup, face, say, time, use, day, feel, dry, year",7.25,1.35,438.6,15.22,110.0,Rising,LSTM
7,"sale, char, size, chanel, price, brand, deal, new, free, gap, good, find, shipping, year, store",2.62,0.77,241.2,5.09,94.1,Rising,LSTM
10,"char, spring, fashion, summer, shoe, trend, short, new, denim, print, coachella, story, dress, season, jean",1.0,0.08,1200.0,1.69,68.7,Rising,LSTM
5,"thrifte, vintage, book, cottagecore, dark, char, academia, thrift, wall, art, find, floral, today, advertisements, cotta",7.5,1.46,413.2,10.66,42.1,Rising,LSTM
0,"char, ootd, new, goth, game, april, photo, streetwear, nail, old, star, selfie, denim, netflix, gothic",10.38,1.65,527.3,14.28,37.7,Rising,LSTM
15,"like, fashion, link, thread, good, culture, picture, char, newspaper, arthistory, dress, album, answer, know, item",6.62,0.77,761.2,8.51,28.5,Rising,LSTM
4,"say, fashion, people, like, trend, man, year, woman, time, new, see, bag, think, way, come",13.5,2.58,423.9,13.81,2.3,Stable,LSTM
14,"dress, like, shirt, feel, jean, good, trouser, pair, work, shoe, think, day, way, want, jacket",1.38,0.69,98.6,1.37,-0.2,Stable,LSTM
2,"fashion, gala, met, year, culture, westwood, designer, new, say, arts, char, week, time, australian, night",0.38,0.35,8.3,0.33,-10.7,Stable,LSTM
11,"art, darkacademia, music, char, day, olivia, vintage, year, new, rodrigo, commission, fashion, hat, culture, love",3.62,1.54,135.6,2.89,-20.2,Declining,LSTM
19,,0.88,0.23,279.2,0.63,-27.4,Declining,LSTM
16,,0.38,0.19,95.0,0.25,-33.3,Declining,LSTM
13,"model, dress, fashion, vintage, sexy, nude, pin, year, nsfw, sparkle, day, porn, designer, say, coveti",0.88,0.23,279.2,0.55,-37.3,Declining,LSTM
8,"fashion, dress, say, film, prada, red, paris, designer, new, black, year, like, devil, woman, chanel",0.5,0.08,550.0,0.3,-39.7,Declining,LSTM
3,"fashion, designer, brand, year, collection, design, week, catwalk, say, new, gucci, creative, director, luxury, dress",1.88,0.19,875.0,1.09,-41.9,Declining,LSTM
12,"say, fashion, clothe, work, brand, people, year, like, think, want, thing, new, clothing, sell, time",0.75,0.42,77.3,0.37,-50.4,Declining,LSTM
1,"idea, perfect, design, feel, space, create, char, stylish, garden, beautifully, ideas, like, room, outdoor, color",2.38,0.73,225.0,0.99,-58.2,Declining,LSTM
18,,1.5,0.42,254.5,0.49,-67.2,Declining,LSTM
