model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,9.0,12.469963913339926,24.686806371588983,30.921888559100914,cottagecore
MA(4),32.5,33.7564808592365,129.73419071245158,73.63556742761821,cottagecore
"ARIMA(1,1,1)",7.363220351593051,9.38652696374004,22.13759412653438,24.32795319107157,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",9.762891083161735,13.36383850119447,26.86454392060919,34.40365938090951,cottagecore
Prophet,7.455583526626404,10.988767583657987,19.622971805197682,24.219574492471306,cottagecore
XGBoost-lag8,7.911946058273315,10.713633942655347,23.258451259950228,26.359071601983775,cottagecore
LSTM,12.41254769899468,14.505182482113394,53.59396724103351,38.49932594042008,cottagecore
Naive,16.125,20.503048553812675,28.286846029986272,23.68236077228821,quiet luxury
MA(4),19.875,22.118996360594664,29.829171780962938,29.25094330524146,quiet luxury
"ARIMA(1,1,1)",16.47971268273819,20.477167060624087,28.247661864262252,24.191447665897208,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",16.544139602765455,20.488433895146052,28.349602828086855,24.27974432007198,quiet luxury
Prophet,27.1495258047387,29.616344835535322,36.326752965844165,41.50609327289113,quiet luxury
XGBoost-lag8,19.17491912841797,21.619979165908347,29.432219277804204,28.179106566980266,quiet luxury
LSTM,17.097693582945134,22.695312713689926,32.51238637462481,24.668246633372057,quiet luxury
Naive,8.0,9.874208829065749,22.8632931652491,25.327243715726976,y2k fashion
MA(4),33.5,34.63379852109786,122.18288228626535,71.60084021600674,y2k fashion
"ARIMA(1,1,1)",7.965877839886726,10.624295861260924,21.475458115861947,25.083463403978858,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",7.968473502759168,10.915693453129046,21.067020689569095,25.044081461231833,y2k fashion
Prophet,7.3726576254943605,8.508179221406097,22.73748582473717,23.21063298780681,y2k fashion
XGBoost-lag8,8.50123405456543,11.331914629386283,22.705816457725735,27.12390326492185,y2k fashion
LSTM,13.167163404837746,18.984482253277573,53.14546197712787,34.280405938337836,y2k fashion
