as_of,K,n,hits,precision
2025-05-01,1,1,0,0.0
2025-05-01,3,3,0,0.0
2025-05-01,5,5,0,0.0
2025-05-01,10,10,1,0.1
2025-06-01,1,1,0,0.0
2025-06-01,3,3,0,0.0
2025-06-01,5,5,1,0.2
2025-06-01,10,10,4,0.4
2025-07-01,1,1,0,0.0
2025-07-01,3,3,0,0.0
2025-07-01,5,5,0,0.0
2025-07-01,10,10,0,0.0
2025-08-01,1,1,0,0.0
2025-08-01,3,3,2,0.6666666666666666
2025-08-01,5,5,2,0.4
2025-08-01,10,10,6,0.6
2025-09-01,1,1,1,1.0
2025-09-01,3,3,3,1.0
2025-09-01,5,5,5,1.0
2025-09-01,10,10,8,0.8
2025-10-01,1,1,1,1.0
2025-10-01,3,3,3,1.0
2025-10-01,5,5,4,0.8
2025-10-01,10,10,7,0.7
2025-11-01,1,1,1,1.0
2025-11-01,3,3,2,0.6666666666666666
2025-11-01,5,5,3,0.6
2025-11-01,10,10,6,0.6
2025-12-01,1,1,1,1.0
2025-12-01,3,3,3,1.0
2025-12-01,5,5,5,1.0
2025-12-01,10,10,10,1.0
2026-01-01,1,1,1,1.0
2026-01-01,3,3,2,0.6666666666666666
2026-01-01,5,5,4,0.8
2026-01-01,10,10,8,0.8
2026-02-01,1,1,1,1.0
2026-02-01,3,3,2,0.6666666666666666
2026-02-01,5,5,3,0.6
2026-02-01,10,10,7,0.7
2026-03-01,1,1,1,1.0
2026-03-01,3,3,3,1.0
2026-03-01,5,5,5,1.0
2026-03-01,10,10,10,1.0
2026-04-01,1,1,1,1.0
2026-04-01,3,3,3,1.0
2026-04-01,5,5,5,1.0
2026-04-01,10,10,10,1.0
