series_kind,model,MAE,RMSE,MAPE,sMAPE
topics,Naive,13.299,18.488,20885465.719,88.377
topics,LSTM,14.112,19.146,19660452.353,135.449
topics,"ARIMA(1,1,1)",14.143,19.094,16141062.764,146.083
topics,"SARIMA(1,1,1)(1,0,1,52)",14.176,19.139,16428555.641,146.13
topics,XGBoost-lag8,14.22,19.25,16081103.781,151.842
topics,MA(4),14.393,19.376,19401083.168,114.301
topics,Prophet,15.667,20.492,15493929.955,165.341
trends,"ARIMA(1,1,1)",8.938,11.446,21.607,23.307
trends,Naive,8.983,11.5,22.027,23.497
trends,"SARIMA(1,1,1)(1,0,1,52)",9.017,11.594,21.674,23.403
trends,LSTM,10.051,12.839,25.892,26.07
trends,XGBoost-lag8,10.219,12.558,24.202,26.973
trends,MA(4),10.601,12.886,27.434,27.318
trends,Prophet,11.526,13.746,26.293,31.797
