as_of,K,n,hits,precision,channel
2025-05-01,1,1,1,1.0,topics
2025-05-01,3,3,1,0.3333333333333333,topics
2025-05-01,5,5,2,0.4,topics
2025-05-01,10,9,2,0.2222222222222222,topics
2025-06-01,1,1,0,0.0,topics
2025-06-01,3,3,2,0.6666666666666666,topics
2025-06-01,5,5,2,0.4,topics
2025-06-01,10,6,3,0.5,topics
2025-07-01,1,1,1,1.0,topics
2025-07-01,3,3,3,1.0,topics
2025-07-01,5,5,4,0.8,topics
2025-07-01,10,9,5,0.5555555555555556,topics
2025-08-01,1,1,1,1.0,topics
2025-08-01,3,3,2,0.6666666666666666,topics
2025-08-01,5,5,3,0.6,topics
2025-08-01,10,9,5,0.5555555555555556,topics
2025-09-01,1,1,1,1.0,topics
2025-09-01,3,3,3,1.0,topics
2025-09-01,5,5,5,1.0,topics
2025-09-01,10,10,9,0.9,topics
2025-10-01,1,1,1,1.0,topics
2025-10-01,3,3,2,0.6666666666666666,topics
2025-10-01,5,5,4,0.8,topics
2025-10-01,10,6,5,0.8333333333333334,topics
2025-11-01,1,1,0,0.0,topics
2025-11-01,3,1,0,0.0,topics
2025-11-01,5,1,0,0.0,topics
2025-11-01,10,1,0,0.0,topics
2025-12-01,1,1,1,1.0,topics
2025-12-01,3,3,3,1.0,topics
2025-12-01,5,3,3,1.0,topics
2025-12-01,10,3,3,1.0,topics
2026-01-01,1,1,1,1.0,topics
2026-01-01,3,3,2,0.6666666666666666,topics
2026-01-01,5,5,3,0.6,topics
2026-01-01,10,10,7,0.7,topics
2026-02-01,1,1,1,1.0,topics
2026-02-01,3,3,1,0.3333333333333333,topics
2026-02-01,5,5,2,0.4,topics
2026-02-01,10,8,4,0.5,topics
2026-03-01,1,1,1,1.0,topics
2026-03-01,3,3,3,1.0,topics
2026-03-01,5,5,5,1.0,topics
2026-03-01,10,10,10,1.0,topics
2026-04-01,1,1,1,1.0,topics
2026-04-01,3,3,3,1.0,topics
2026-04-01,5,5,5,1.0,topics
2026-04-01,10,10,10,1.0,topics
2025-05-01,1,1,0,0.0,trends
2025-05-01,3,1,0,0.0,trends
2025-05-01,5,1,0,0.0,trends
2025-05-01,10,1,0,0.0,trends
2025-07-01,1,1,1,1.0,trends
2025-07-01,3,1,1,1.0,trends
2025-07-01,5,1,1,1.0,trends
2025-07-01,10,1,1,1.0,trends
2026-02-01,1,1,1,1.0,trends
2026-02-01,3,2,2,1.0,trends
2026-02-01,5,2,2,1.0,trends
2026-02-01,10,2,2,1.0,trends
2026-03-01,1,1,1,1.0,trends
2026-03-01,3,1,1,1.0,trends
2026-03-01,5,1,1,1.0,trends
2026-03-01,10,1,1,1.0,trends
2026-04-01,1,1,0,0.0,trends
2026-04-01,3,1,0,0.0,trends
2026-04-01,5,1,0,0.0,trends
2026-04-01,10,1,0,0.0,trends
