as_of,K,n,hits,precision
2025-05-01,1,1,1,1.0
2025-05-01,3,3,1,0.3333333333333333
2025-05-01,5,5,2,0.4
2025-05-01,10,9,2,0.2222222222222222
2025-06-01,1,1,0,0.0
2025-06-01,3,3,2,0.6666666666666666
2025-06-01,5,5,2,0.4
2025-06-01,10,6,3,0.5
2025-07-01,1,1,1,1.0
2025-07-01,3,3,3,1.0
2025-07-01,5,5,4,0.8
2025-07-01,10,9,5,0.5555555555555556
2025-08-01,1,1,1,1.0
2025-08-01,3,3,2,0.6666666666666666
2025-08-01,5,5,3,0.6
2025-08-01,10,9,5,0.5555555555555556
2025-09-01,1,1,1,1.0
2025-09-01,3,3,3,1.0
2025-09-01,5,5,5,1.0
2025-09-01,10,10,9,0.9
2025-10-01,1,1,1,1.0
2025-10-01,3,3,2,0.6666666666666666
2025-10-01,5,5,4,0.8
2025-10-01,10,6,5,0.8333333333333334
2025-11-01,1,1,0,0.0
2025-11-01,3,1,0,0.0
2025-11-01,5,1,0,0.0
2025-11-01,10,1,0,0.0
2025-12-01,1,1,1,1.0
2025-12-01,3,3,3,1.0
2025-12-01,5,3,3,1.0
2025-12-01,10,3,3,1.0
2026-01-01,1,1,1,1.0
2026-01-01,3,3,2,0.6666666666666666
2026-01-01,5,5,3,0.6
2026-01-01,10,10,7,0.7
2026-02-01,1,1,1,1.0
2026-02-01,3,3,1,0.3333333333333333
2026-02-01,5,5,2,0.4
2026-02-01,10,8,4,0.5
2026-03-01,1,1,1,1.0
2026-03-01,3,3,3,1.0
2026-03-01,5,5,5,1.0
2026-03-01,10,10,10,1.0
2026-04-01,1,1,1,1.0
2026-04-01,3,3,3,1.0
2026-04-01,5,5,5,1.0
2026-04-01,10,10,10,1.0
