model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,85.91666666666667,151.42737533220338,77.232767222878,132.94808787410858,0
MA(4),87.41666666666667,152.28345281086845,85.77047951429874,153.59379015697309,0
"ARIMA(1,1,1)",88.35172938076704,152.81408560129628,91.09986884716918,168.8848897231906,0
"SARIMA(1,1,1)(1,0,1,52)",88.37351161437125,152.81366325527867,91.17628856752619,169.18500751088953,0
Prophet,89.30472997376836,153.41291050615,96.42712102807623,186.4851393708863,0
XGBoost-lag8,86.7472694516182,151.51243822322223,83.38591663053981,149.0209261558695,0
LSTM,87.22908300802789,152.13483985884974,84.91589286679876,151.45964378512983,0
Naive,43.5,74.7072062566033,61.1398449442499,115.27574400610018,1
MA(4),43.416666666666664,74.56191498792575,68.09147284697904,119.10645733799011,1
"ARIMA(1,1,1)",43.3761240023185,74.49310646042481,71.29592319891786,120.40439072362454,1
"SARIMA(1,1,1)(1,0,1,52)",43.430796411720166,74.5445637070054,72.18934534665117,121.44733269173697,1
Prophet,43.512742606599055,74.71850017157135,62.006365776046565,116.30391642468783,1
XGBoost-lag8,43.43025926748911,74.53593585380139,71.59397379279766,121.57318279706537,1
LSTM,43.2944801187262,74.47202036442495,64.90951135717214,114.01728242412833,1
Naive,159.5,264.1943728898605,67.9168194968168,113.36310798093379,2
MA(4),164.75,267.3966700740057,78.4441130994238,135.04305546734486,2
"ARIMA(1,1,1)",162.44070430923793,266.0770382182644,73.51926913417373,124.52647104369143,2
"SARIMA(1,1,1)(1,0,1,52)",162.19952829286404,265.9612730106028,72.9705299620664,123.41312163500469,2
Prophet,171.8746147177341,271.8026541792874,92.76979671008667,174.0801722506487,2
XGBoost-lag8,163.19501129786173,266.4503565674405,75.29440398480632,128.08860276957256,2
LSTM,159.40953286986593,264.1650615143143,67.69385632003407,112.9588822372438,2
Naive,54.833333333333336,90.80106460462528,98.59972288583374,111.38442644560061,3
MA(4),54.666666666666664,90.50736618272202,105.12636184108379,111.21836982117973,3
"ARIMA(1,1,1)",55.33657601993746,91.38334081986825,90.19928612107813,114.9442597543758,3
"SARIMA(1,1,1)(1,0,1,52)",55.295835951426234,91.31048140168346,92.75568500174649,115.10849203451188,3
Prophet,55.81249709551475,91.7494118437283,87.88915282644756,121.1619959685788,3
XGBoost-lag8,56.28706787402431,91.53094085856337,86.52991421147517,130.98982685586324,3
LSTM,55.645565982920296,91.8871504833223,82.69513000623063,147.7069955501547,3
Naive,65.83333333333333,103.32553734032389,138.63688208365363,118.85370028386345,4
MA(4),64.16666666666667,101.79595604279507,156.62943593790038,110.25190365128796,4
"ARIMA(1,1,1)",64.04554576902123,101.68759650378375,157.91236191156946,109.64789094643075,4
"SARIMA(1,1,1)(1,0,1,52)",64.04885271765083,101.69172870238631,157.8415041674421,109.66611076432532,4
Prophet,67.74694019822284,104.75924999347743,125.1736334688984,131.5091131987487,4
XGBoost-lag8,64.08455991744995,101.30213150345317,189.92187048324362,109.84143114886893,4
LSTM,63.03689585831676,100.78376468509344,168.79894502644487,104.77437902762068,4
Naive,76.58333333333333,142.32620981393413,135.16092659301628,98.70996744203387,5
MA(4),79.875,144.86092468295237,108.2827234430017,121.98018434670081,5
"ARIMA(1,1,1)",82.55396950037266,146.83981686857013,91.5664143727403,146.23641051121712,5
"SARIMA(1,1,1)(1,0,1,52)",82.6673328061143,146.9296732053855,88.19287685233573,146.6387843625039,5
Prophet,83.93827830055211,147.80643524887043,89.30062472193315,165.98730736158856,5
XGBoost-lag8,82.51124636332194,146.58736961632624,78.9464505278896,144.50186269583273,5
LSTM,83.1496113129509,146.7362508418121,86.4044280770139,160.34522304321104,5
Naive,64.91666666666667,114.98949227356965,100.0,200.0,6
MA(4),64.41666666666667,114.70796252513017,90.59330566474247,170.72595599594348,6
"ARIMA(1,1,1)",64.43585327170567,114.7165363119238,90.93465419683605,171.63814764674393,6
"SARIMA(1,1,1)(1,0,1,52)",64.43156250354902,114.71415903287469,90.85419982490241,171.43624671998242,6
Prophet,64.68555495076934,114.85878015635761,95.66578868169722,184.8723882513965,6
XGBoost-lag8,64.81730981046955,114.97618672341788,98.34244515380041,193.93787572123736,6
LSTM,64.656972933699,114.9114392385986,96.19346263380953,186.89421918219534,6
Naive,78.66666666666667,124.75976915656746,87.312242086375,157.24467077082795,7
MA(4),73.41666666666667,121.51774561766689,65.1086657375312,107.08684424187942,7
"ARIMA(1,1,1)",75.53717439565145,122.7857557054506,74.23857226432948,124.90490904793108,7
"SARIMA(1,1,1)(1,0,1,52)",75.53515352154636,122.78479634047902,74.22834761988476,124.88386165791707,7
Prophet,78.81021406211146,124.78170739442913,88.24388190321464,159.8671360010049,7
XGBoost-lag8,72.51114376386006,120.85669954855372,60.920400348969494,101.08233212116929,7
LSTM,78.8958043766147,125.15874887117893,87.41200310704316,158.03465607143215,7
Naive,68.25,123.14726955966178,120.60064094903933,106.63470957486815,8
MA(4),68.25,124.63446553822904,96.48051275923144,102.63364015018762,8
"ARIMA(1,1,1)",68.42526280127949,124.89678653950507,96.20065542377799,102.91032841132875,8
"SARIMA(1,1,1)(1,0,1,52)",68.42550584770046,124.89156285939886,96.28916580380866,102.93034866033335,8
Prophet,69.76155012231949,127.6829705582208,62.88080664164756,101.98967799383973,8
XGBoost-lag8,68.00984239578247,124.85590266252999,89.70992502601256,100.52172604396794,8
LSTM,68.27054814540891,124.0573681234167,106.04069287145812,104.57528190062541,8
Naive,67.08333333333333,108.21852891256654,100.0,200.0,9
MA(4),66.33333333333333,107.75522029117661,80.78747213298072,149.33932462151415,9
"ARIMA(1,1,1)",66.08055504957963,107.60708667657156,74.42882515777816,138.5890609364224,9
"SARIMA(1,1,1)(1,0,1,52)",66.08050741132978,107.60709833162691,74.42767527208774,138.58687213061512,9
Prophet,66.54395710500572,107.87521153962929,86.43843809344645,160.52091279429595,9
XGBoost-lag8,65.98421900284787,107.50929053201992,77.93464124514395,143.51160642423187,9
LSTM,66.0869513999558,107.2088390177229,90.56663354963028,159.7811573261659,9
Naive,84.83333333333333,132.61284502892875,8333416.405305581,173.00541285574403,10
MA(4),83.33333333333333,131.3449656439104,25000074.215916738,146.89555667276767,10
"ARIMA(1,1,1)",83.75149013386115,131.73990314239697,19783287.955921657,151.62338604337873,10
"SARIMA(1,1,1)(1,0,1,52)",83.71295427795967,131.7426510811571,19452403.657887995,150.4814239679595,10
Prophet,84.77019583265736,132.5123278737268,9640217.317097332,171.88991509921289,10
XGBoost-lag8,85.31435851498584,133.21980698597918,5548831.049789916,181.11273973864402,10
LSTM,83.64282752729072,131.850574681083,33856243.42292443,149.09688915253156,10
Naive,73.58333333333333,114.42574011121798,71.07757104432095,89.25000878350372,11
MA(4),77.91666666666667,119.11444077021056,66.81931523603392,103.24293374754254,11
"ARIMA(1,1,1)",77.44980357001351,118.61205819050278,67.11563786996186,101.65343701269363,11
"SARIMA(1,1,1)(1,0,1,52)",77.085708742444,118.25411697082743,67.15114829220212,100.27251415586895,11
Prophet,83.75810889380655,123.87286188072805,77.08779790136032,135.8686283970992,11
XGBoost-lag8,75.04277841250102,115.77958156859343,70.42447769312865,94.39498276391492,11
LSTM,72.25105499910973,112.2764395497651,77.08633840616139,86.69551208232936,11
Naive,86.33333333333333,145.5134587131605,25000063.059413202,170.85240576486288,12
MA(4),86.25,145.366132575645,31250064.240933176,170.08015264360807,12
"ARIMA(1,1,1)",86.53325237539087,145.74206683736344,16377074.321414411,179.03189438349594,12
"SARIMA(1,1,1)(1,0,1,52)",86.53058600365516,145.73902831640984,16485809.853349356,178.91058866643178,12
Prophet,86.67817535482305,145.90476389779224,8775923.330242299,187.5726597525379,12
XGBoost-lag8,86.6780732951059,146.08225956375125,241322.06510488832,194.18334646850218,12
LSTM,86.0137306923581,144.94488553661205,49091420.42714977,167.19861542881577,12
Naive,57.5,101.95750748882269,33333415.014121618,125.65764141830662,13
MA(4),57.625,102.0954414587971,31250080.22157235,127.0314267631173,13
"ARIMA(1,1,1)",57.95692516984405,102.45475161782079,25858167.37150261,130.85397141681906,13
"SARIMA(1,1,1)(1,0,1,52)",57.96161497683892,102.460781552267,25767505.47442512,130.89494222170234,13
Prophet,59.328322265220415,103.58045869174813,8449404.299030568,159.10874513834966,13
XGBoost-lag8,57.50689421097437,101.94885440046775,33410209.5604425,125.88339771696148,13
LSTM,57.48926079362183,101.94016550715648,33603838.84382208,125.61295521085134,13
Naive,109.08333333333333,189.71887096438246,83.33333333333334,166.66666666666669,14
MA(4),108.91666666666667,189.57523792239675,4166747.0864456436,189.27079276463832,14
"ARIMA(1,1,1)",108.77952279716988,189.46361173527515,7308009.914090104,181.4947132358024,14
"SARIMA(1,1,1)(1,0,1,52)",108.77289324989032,189.4580811184194,7465759.321133331,181.14494357896297,14
Prophet,108.9216712715877,189.58370675668345,3659530.4764778083,189.8802640315948,14
XGBoost-lag8,109.08426687284373,189.70757915213386,2527153.185911082,198.29850788230127,14
LSTM,108.6536351055339,189.3792443772926,9060826.58798379,178.25384100733325,14
Naive,68.08333333333333,110.54599344465935,68.31026680399738,115.98040956043627,15
MA(4),67.70833333333333,110.08793833416387,71.05680682459698,114.99782714949743,15
"ARIMA(1,1,1)",68.62711164325901,110.9463809798904,70.2740196959775,121.23737315022933,15
"SARIMA(1,1,1)(1,0,1,52)",68.95673330103385,111.19049408880052,71.50322739004122,124.63761422529484,15
Prophet,73.22266665734533,113.71351892074034,107.33057028336835,199.78351588409342,15
