term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
sterling,20.0,3.0,0.0,17.0,5.0,1,2021-01-25
reverb,16.0,4.0,0.0,12.0,3.2,1,2026-05-18
seersucker,12.0,1.0,0.0,11.0,6.0,2,2022-03-21
tubing,12.0,1.0,0.0,11.0,6.0,1,2021-01-11
gin,12.0,1.0,0.0,11.0,6.0,1,2021-01-04
madder,12.0,1.0,0.0,11.0,6.0,1,2021-04-19
draper,12.0,2.0,0.0,10.0,4.0,1,2021-03-01
mocking,12.0,2.0,0.0,10.0,4.0,1,2021-03-22
marilyn,14.0,6.0,0.0,8.0,2.0,2,2021-04-05
dave,12.0,4.0,0.0,8.0,2.4,2,2022-03-14
stoke,12.0,4.0,0.0,8.0,2.4,1,2021-03-29
jessi,12.0,4.0,0.0,8.0,2.4,1,2026-05-25
chafing,8.0,1.0,0.0,7.0,4.0,1,2021-09-27
tears,8.0,2.0,0.0,6.0,2.67,1,2022-02-14
hikes,8.0,2.0,0.0,6.0,2.67,1,2026-05-18
changes,8.0,3.0,0.0,5.0,2.0,2,2026-05-18
walks,20.0,3.5,3.0,4.12,4.44,4,2021-12-06
temple,16.0,3.5,2.12,4.0,3.56,2,2021-02-22
runways,8.0,4.0,0.0,4.0,1.6,1,2026-05-25
gton,8.0,4.0,0.0,4.0,1.6,1,2026-05-25
terms,8.0,4.0,0.0,4.0,1.6,1,2026-04-27
blacknwhite,8.0,4.0,0.0,4.0,1.6,1,2026-05-18
curation,8.0,1.5,0.71,3.81,3.2,2,2021-04-19
gouache,28.0,10.67,4.62,3.08,2.4,3,2025-12-15
