model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,18.333333333333332,28.91654658956817,32.48591683210223,43.262970631484876,cottagecore
MA(4),20.833333333333332,31.676752779706867,37.20484883395056,52.96105052296885,cottagecore
"ARIMA(1,1,1)",19.72857810044874,30.76074365427693,34.19621908933993,48.25905243871628,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",18.804325151447284,29.709191363364454,32.656101647786265,44.78167554649898,cottagecore
Prophet,23.939553118337496,33.962188776583375,47.0212825618602,67.74633400776014,cottagecore
XGBoost-lag8,20.635601202646892,30.774504748588846,37.634313263564344,52.962518598181966,cottagecore
LSTM,18.9400874206212,29.69027355640168,33.369821043538444,45.39403960879743,cottagecore
Naive,17.75,21.293582757879584,24.63188689612791,26.640707993775187,quiet luxury
MA(4),20.583333333333332,24.133310313064527,27.62349438084555,31.576649116692522,quiet luxury
"ARIMA(1,1,1)",18.094541759326418,21.691009444508325,24.934053937534802,27.220541052611424,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",18.270383432635274,21.867811260277826,25.122341807546793,27.520767012882835,quiet luxury
Prophet,29.994994819131875,34.08584004397668,39.16439601769581,50.644712085135204,quiet luxury
XGBoost-lag8,20.80852699279785,24.545288063811427,27.85006235144374,31.986694389133163,quiet luxury
LSTM,16.712618102250943,20.172426207791588,23.906345019522703,24.918342439397158,quiet luxury
Naive,17.666666666666668,26.879360111431225,32.182975352894424,39.63540310107725,y2k fashion
MA(4),18.666666666666668,29.117577738083458,31.277362745683774,42.3801092797825,y2k fashion
"ARIMA(1,1,1)",18.486219614261174,28.48426988267941,31.160432038939817,42.08723566430981,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",18.915544915859073,28.989415159907466,31.863250386596565,43.571499961665864,y2k fashion
Prophet,21.151335648859156,31.386894833537678,37.07374071593708,51.78384165891053,y2k fashion
XGBoost-lag8,18.455370267232258,28.459693068062787,31.308860900790485,42.046584060564044,y2k fashion
LSTM,17.602591975302914,27.425094297714008,29.78052029966841,39.202857074916174,y2k fashion
